method_display,allocated_gb,reserved_gb,compressed_kv_gb,bf16_kv_gb
QUAROT_KV_INT4_REFRESH,21.78498888015747,23.203125,3.5147666931152344,11.24725341796875
RTN_K2_V4,21.7407546043396,23.107421875,2.8118133544921875,11.24725341796875
KIVI_K2_V4,21.666059017181396,23.15625,2.8191357851028442,11.24725341796875
RTN_INT4_REFRESH,21.410126209259033,23.255859375,3.5147666931152344,11.24725341796875
KIVI_INT4_REFRESH,21.276621341705322,23.12109375,3.522089123725891,11.24725341796875
RTN_INT4_RECENT2,20.472501277923584,21.8125,4.619407653808594,11.24725341796875
QUAROT_KV_INT4_RECENT2,20.472501277923584,22.22265625,4.619407653808594,11.24725341796875
PRQ_INT4,19.78114128112793,21.076171875,7.029533386230469,11.24725341796875
KIVI_INT4,19.11229133605957,20.498046875,3.522089123725891,11.24725341796875
KIVI_INT2,19.103364944458008,20.498046875,2.1161824464797974,11.24725341796875
PRQ_INT2,18.845269203186035,21.076171875,5.623626708984375,11.24725341796875
RTN_INT2,18.432204246520996,20.177734375,2.1088600158691406,11.24725341796875
QUAROT_KV_INT2,18.09910821914673,20.294921875,2.1088600158691406,11.24725341796875
RTN_INT4,18.081255435943604,20.177734375,3.5147666931152344,11.24725341796875
TPTQ_INT2,17.87432289123535,22.78515625,4.1401540115475655,11.24725341796875
QUAROT_KV_INT4,17.46815824508667,20.294921875,3.5147666931152344,11.24725341796875
FLOWCACHE_NATIVE,17.359582901000977,19.416015625,11.24725341796875,11.24725341796875
BF16,15.628426551818848,19.552734375,11.24725341796875,11.24725341796875
QAQ_INT4,13.621997356414795,14.80859375,3.5764563493430614,11.24725341796875
FLOWCACHE_HYBRID_INT2,13.42739725112915,15.453125,2.441541463136673,11.24725341796875
SPATIAL_MIXED_FG_RTN_INT4_BG_RTN_INT4,13.338704109191895,15.1953125,3.5321004688739777,11.24725341796875
SPATIAL_MIXED_FG_RTN_INT4_BG_RTN_INT2,12.618438243865967,15.041015625,3.05349138379097,11.24725341796875
AGE_TIER_INT4,12.518875122070312,15.01953125,3.5321004688739777,11.24725341796875
FLOWCACHE_ADAPTIVE_INT2,12.482561588287354,15.130859375,2.6351587772369385,11.24725341796875
SPATIAL_MIXED_FG_KIVI_INT4_BG_KIVI_INT2,12.471110343933105,14.71484375,3.25738325715065,11.24725341796875
QAQ_INT2,12.419549465179443,14.927734375,2.1695194635540247,11.24725341796875
AGE_TIER_INT2,12.334081649780273,15.01953125,2.547794133424759,11.24725341796875
SPATIAL_MIXED_FG_QUAROT_KV_INT4_BG_RTN_INT2,12.287890434265137,15.0,3.2500608265399933,11.24725341796875
FLOWCACHE_SOFT_PRUNE_INT2,10.913585662841797,14.412109375,1.6480590403079987,11.24725341796875
FLOWCACHE_SOFT_PRUNE_INT4,9.86167049407959,14.412109375,2.0487166941165924,11.24725341796875
FLOWCACHE_PRUNE_INT4,9.770798206329346,14.412109375,2.045676112174988,11.24725341796875
FLOWCACHE_NATIVE_SOFT_PRUNE_INT4,9.766698837280273,14.412109375,2.0487166941165924,11.24725341796875
FLOWCACHE_PRUNE_INT2,9.202288627624512,14.412109375,1.446150541305542,11.24725341796875
