method,method_family,bit_width_label,source_users,run_count,prompt_count,seed_count,compression_ratio,peak_vram_gb,peak_compressed_kv_gb,avg_runtime_s_per_prompt,imaging_quality,drift_last_imaging_quality,psnr,ssim,lpips,psnr_delta_vs_bf16,ssim_delta_vs_bf16,lpips_delta_vs_bf16,drift_last_imaging_quality_delta_vs_bf16,runtime_overhead_vs_bf16_pct,peak_vram_reduction_vs_bf16_pct,compression_gain_vs_bf16,pareto_balanced_practical,pareto_quality_preserving_compression,pareto_systems_efficiency,pareto_quality_first,recommended_for,caution_label
FLOWCACHE_PRUNE_INT2,FLOWCACHE,INT2,vaishak,1,10,10,7.679736507208971,11.139518737792969,1.4645363688468933,70.15758747188374,0.5161216131961708,0.516075106900533,14.257004672223044,0.4923666147672819,0.5055950064963135,,-0.5076333852327182,0.5055950064963135,-0.17903484656016033,23.49354221416732,42.222855362151094,7.679736507208971,True,True,True,False,Recommended: Single-GPU practical; Best aggressive-compression option,SSIM drops beyond the current tolerance. LPIPS increases beyond the current tolerance. SSIM drops beyond the current tolerance. LPIPS increases beyond the current tolerance.
FLOWCACHE_PRUNE_INT4,FLOWCACHE,INT4,vaishak,1,10,10,5.431468289622698,11.753410816192627,2.0707574486732483,72.406342380587,0.6815405974185827,0.6796759040323892,inf,0.465262896937706,0.4899116417060599,,-0.534737103062294,0.4899116417060599,-0.015434049428304175,27.451869734459486,39.03879218665757,5.431468289622698,True,True,False,False,,SSIM drops beyond the current tolerance. LPIPS increases beyond the current tolerance.
FLOWCACHE_SOFT_PRUNE_INT4,FLOWCACHE,INT4,vaishak,1,10,10,5.423639760541966,11.756392002105713,2.0737463980913162,75.1512117269449,0.6802602834759337,0.6788714613596599,inf,0.5184296142059782,0.4162435209327447,,-0.4815703857940218,0.4162435209327447,-0.016238492101033453,32.28347313918985,39.02332972245718,5.423639760541966,True,True,False,False,,SSIM drops beyond the current tolerance. LPIPS increases beyond the current tolerance.
FLOWCACHE_SOFT_PRUNE_INT2,FLOWCACHE,INT2,vaishak,1,10,10,6.722402816113413,11.756392002105713,1.6731001883745193,74.3772234146949,0.5319857032082298,0.5361227824910482,14.183461365923582,0.4969575818448419,0.4945827186045896,,-0.503042418155158,0.4945827186045896,-0.1589871709696452,30.9210751184423,39.02332972245718,6.722402816113413,True,True,False,False,,SSIM drops beyond the current tolerance. LPIPS increases beyond the current tolerance.
FLOWCACHE_NATIVE_SOFT_PRUNE_INT4,FLOWCACHE,INT4,vaishak,1,10,10,5.423639760541966,11.783729076385498,2.0737463980913162,64.23186192167923,0.6574859594171697,0.657198041152954,11.942788955230306,0.4362571370682191,0.5229977145791054,,-0.5637428629317809,0.5229977145791054,-0.03791191230773938,13.06289793528555,38.881541003230005,5.423639760541966,True,False,True,False,,SSIM drops beyond the current tolerance. LPIPS increases beyond the current tolerance.
FLOWCACHE_ADAPTIVE_INT2,FLOWCACHE,INT2,vaishak,1,10,10,4.257537019382938,14.375166893005371,2.6417276859283447,91.29233993263917,0.4977261341557358,0.4960044346364339,inf,0.4506782620647306,0.5284471566103062,,-0.5493217379352694,0.5284471566103062,-0.19910551882425948,60.695583208582335,25.440576355191503,4.257537019382938,False,False,False,False,,SSIM drops beyond the current tolerance. LPIPS increases beyond the current tolerance.
SPATIAL_MIXED_FG_QUAROT_KV_INT4_BG_RTN_INT2,SPATIAL_MIXED,"INT4, INT2",vaishak,1,10,10,3.460628590740115,14.375953674316406,3.2500608265399933,224.0546369447373,0.3997216481700089,0.3978795913950601,12.96882723081541,0.4442379315316624,0.5987586049345202,,-0.5557620684683375,0.5987586049345202,-0.2972303620656333,294.3878597151528,25.4364955704937,3.460628590740115,False,False,False,False,,Runtime is more than 2x BF16 under the current implementation. SSIM drops beyond the current tolerance.
FLOWCACHE_HYBRID_INT2,FLOWCACHE,INT2,vaishak,1,10,10,4.592230482379793,14.376578330993652,2.449191838502884,82.17525438680313,0.4920886346181233,0.4937198191960653,13.950021348890871,0.4791142402932116,0.5121112332407339,,-0.5208857597067884,0.5121112332407339,-0.2013901342646281,44.64740895834758,25.433255674763934,4.592230482379793,False,False,False,False,,SSIM drops beyond the current tolerance. LPIPS increases beyond the current tolerance.
AGE_TIER_INT4,AGE_TIER,INT4,vaishak,1,10,10,3.1842960066066124,14.37751293182373,3.5321004688739777,102.44998802766204,0.6735155077616375,0.6755885616556805,18.65989394068062,0.6609571847602325,0.2452397017824727,,-0.33904281523976754,0.2452397017824727,-0.01952139180501289,80.33561838775289,25.428408197183515,3.1842960066066124,True,False,False,False,,SSIM drops beyond the current tolerance. LPIPS increases beyond the current tolerance.
SPATIAL_MIXED_FG_RTN_INT4_BG_RTN_INT4,SPATIAL_MIXED,"INT4, INT4",vaishak,1,10,10,3.1842960066066124,14.37751293182373,3.5321004688739777,106.64318176801316,0.6055598847475919,0.606635558497111,inf,0.587328770042473,0.3492665040413284,,-0.41267122995752703,0.3492665040413284,-0.08847439496358234,87.71660691438599,25.428408197183515,3.1842960066066124,False,False,False,False,,SSIM drops beyond the current tolerance. LPIPS increases beyond the current tolerance.
AGE_TIER_INT2,AGE_TIER,INT2,vaishak,1,10,10,4.414506364707783,14.37751293182373,2.547794133424759,101.94555128877982,0.4690668356115168,0.4733573342132567,13.671599411302177,0.4633159932063946,0.523035939410417,,-0.5366840067936054,0.523035939410417,-0.22175261924743667,79.44769333285424,25.428408197183515,4.414506364707783,False,False,False,False,,SSIM drops beyond the current tolerance. LPIPS increases beyond the current tolerance.
SPATIAL_MIXED_FG_RTN_INT4_BG_RTN_INT2,SPATIAL_MIXED,"INT4, INT2",vaishak,1,10,10,3.693165879891962,14.37751293182373,3.045423299074173,106.5982868253719,0.421389925326723,0.4194565905761719,12.638906859791742,0.4304626127359802,0.5870415295186368,,-0.5695373872640198,0.5870415295186368,-0.27565336288452147,87.6375814562131,25.428408197183515,3.693165879891962,False,False,False,False,,SSIM drops beyond the current tolerance. LPIPS increases beyond the current tolerance.
SPATIAL_MIXED_FG_KIVI_INT4_BG_KIVI_INT2,SPATIAL_MIXED,"INT4, INT2",vaishak,1,10,10,3.452849275036529,14.383306503295898,3.25738325715065,110.19123804047705,0.454161051571008,0.4508860995483398,13.202495643182791,0.4531850971920265,0.6537113428187633,,-0.5468149028079735,0.6537113428187633,-0.24422385391235357,93.96200463758103,25.398358782590634,3.452849275036529,False,False,False,False,,SSIM drops beyond the current tolerance. LPIPS increases beyond the current tolerance.
QAQ_INT2,QAQ,INT2,vaishak,1,10,10,5.185465673119014,14.420915126800537,2.1689958292990923,109.8902764648199,0.5789952103817102,0.585247272046407,11.79393484245956,0.3244108305298449,0.6351200775621864,,-0.6755891694701551,0.6351200775621864,-0.10986268141428635,93.43224282011329,25.203294800832975,5.185465673119014,False,False,False,False,,SSIM drops beyond the current tolerance. LPIPS increases beyond the current tolerance.
QAQ_INT4,QAQ,INT4,vaishak,1,10,10,3.145812333275042,14.420972347259521,3.575309721753001,109.89110361156054,0.5670861301422119,0.5706207747014365,11.02900925547818,0.2375424232072365,0.7186288769488841,,-0.7624575767927635,0.7186288769488841,-0.12448917875925691,93.43369878923384,25.202998016491318,3.145812333275042,False,False,False,False,,SSIM drops beyond the current tolerance. LPIPS increases beyond the current tolerance.
BF16,BF16,BF16,suraj,1,10,10,1.0,19.280147552490234,11.24725341796875,56.810733754979445,0.693240403285171,0.6951099534606934,inf,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,True,True,True,True,BF16 reference baseline,Reference only: no KV compression is applied.
FLOWCACHE_NATIVE,FLOWCACHE,mixed / implicit,vaishak,1,10,10,1.0,19.30748462677002,11.24725341796875,49.04424902978353,0.6814587346394858,0.6820801641082764,11.954776269369082,0.4506768587887069,0.5077458042086976,,-0.5493231412112931,0.5077458042086976,-0.013029789352416943,-13.670805166312757,-0.14178871922716496,1.0,True,False,True,True,Fastest option,SSIM drops beyond the current tolerance. LPIPS increases beyond the current tolerance.
TPTQ_INT2,TPTQ,INT2,vaishak,1,10,10,2.7166457817366974,19.76618480682373,4.14012511074543,166.55410283068196,0.6537301739779386,0.6580397197850547,17.034951615411938,0.6147203321085718,0.3008096416335673,,-0.3852796678914282,0.3008096416335673,-0.037070233675638664,193.17365191764227,-2.520920822884043,2.7166457817366974,False,False,False,False,,Compressed KV bytes do not translate into lower peak VRAM in the current stack. Runtime is more than 2x BF16 under the current implementation.
