method,frame_cap,seconds,imaging_quality
AGE_TIER_INT2,50,3.125,0.578973106956482
AGE_TIER_INT2,100,6.25,0.5138595236396789
AGE_TIER_INT2,150,9.375,0.47335733421325676
AGE_TIER_INT4,50,3.125,0.6864935736083985
AGE_TIER_INT4,100,6.25,0.6797619676971435
AGE_TIER_INT4,150,9.375,0.6755885616556805
BF16,50,3.125,0.6961577812194824
BF16,100,6.25,0.695468802833557
BF16,150,9.375,0.6951099534606934
FLOWCACHE_ADAPTIVE_INT2,50,3.125,0.5533613556289673
FLOWCACHE_ADAPTIVE_INT2,100,6.25,0.5182009016990661
FLOWCACHE_ADAPTIVE_INT2,150,9.375,0.49600443463643396
FLOWCACHE_HYBRID_INT2,50,3.125,0.5785589415740967
FLOWCACHE_HYBRID_INT2,100,6.25,0.5233661839675904
FLOWCACHE_HYBRID_INT2,150,9.375,0.4937198191960653
FLOWCACHE_NATIVE,50,3.125,0.6750793697357179
FLOWCACHE_NATIVE,100,6.25,0.6765525444030763
FLOWCACHE_NATIVE,150,9.375,0.6820801641082764
FLOWCACHE_NATIVE_SOFT_PRUNE_INT4,50,3.125,0.6717784123229982
FLOWCACHE_NATIVE_SOFT_PRUNE_INT4,100,6.25,0.6656979277420043
FLOWCACHE_NATIVE_SOFT_PRUNE_INT4,150,9.375,0.657198041152954
FLOWCACHE_PRUNE_INT2,50,3.125,0.591529718322754
FLOWCACHE_PRUNE_INT2,100,6.25,0.5486836372756959
FLOWCACHE_PRUNE_INT2,150,9.375,0.516075106900533
FLOWCACHE_PRUNE_INT4,50,3.125,0.6629109384155274
FLOWCACHE_PRUNE_INT4,100,6.25,0.6742262240982057
FLOWCACHE_PRUNE_INT4,150,9.375,0.6796759040323892
FLOWCACHE_SOFT_PRUNE_INT2,50,3.125,0.6203612424468995
FLOWCACHE_SOFT_PRUNE_INT2,100,6.25,0.5762617673301698
FLOWCACHE_SOFT_PRUNE_INT2,150,9.375,0.5361227824910482
FLOWCACHE_SOFT_PRUNE_INT4,50,3.125,0.6810465891265868
FLOWCACHE_SOFT_PRUNE_INT4,100,6.25,0.6819158993148803
FLOWCACHE_SOFT_PRUNE_INT4,150,9.375,0.6788714613596599
KIVI_INT2,50,3.125,0.5628509506988526
KIVI_INT2,100,6.25,0.5331348548698426
KIVI_INT2,150,9.375,0.527073238182068
KIVI_INT4,50,3.125,0.6480685401916503
KIVI_INT4,100,6.25,0.6454025663185119
KIVI_INT4,150,9.375,0.6351706233851114
KIVI_INT4_REFRESH,50,3.125,0.6554504098892212
KIVI_INT4_REFRESH,100,6.25,0.6425022971534727
KIVI_INT4_REFRESH,150,9.375,0.6413729309336343
PRQ_INT2,50,3.125,0.6937547275543213
PRQ_INT2,100,6.25,0.6942231520080567
PRQ_INT2,150,9.375,0.6981998380279542
PRQ_INT4,50,3.125,0.6959325633239746
PRQ_INT4,100,6.25,0.6958567297744751
PRQ_INT4,150,9.375,0.6994126923878987
QAQ_INT2,50,3.125,0.6669974289703369
QAQ_INT2,100,6.25,0.6341268788528442
QAQ_INT2,150,9.375,0.585247272046407
QAQ_INT4,50,3.125,0.6463730240631103
QAQ_INT4,100,6.25,0.5939717094612122
QAQ_INT4,150,9.375,0.5706207747014365
QUAROT_KV_INT2,50,3.125,0.5579256703948975
QUAROT_KV_INT2,100,6.25,0.5141046185111999
QUAROT_KV_INT2,150,9.375,0.48016080608367917
QUAROT_KV_INT4,50,3.125,0.692630181427002
QUAROT_KV_INT4,100,6.25,0.6907130787277223
QUAROT_KV_INT4,150,9.375,0.6889133264668783
QUAROT_KV_INT4_RECENT2,50,3.125,0.6951952242279051
QUAROT_KV_INT4_RECENT2,100,6.25,0.6788612509536742
QUAROT_KV_INT4_RECENT2,150,9.375,0.6698441107432046
RTN_INT2,50,3.125,0.578973106956482
RTN_INT2,100,6.25,0.5138281265830993
RTN_INT2,150,9.375,0.4709276891581217
RTN_INT4,50,3.125,0.6864935736083985
RTN_INT4,100,6.25,0.6796826897811888
RTN_INT4,150,9.375,0.6752917618052164
RTN_INT4_RECENT2,50,3.125,0.6952837854003906
RTN_INT4_RECENT2,100,6.25,0.6899693700408936
RTN_INT4_RECENT2,150,9.375,0.6836344689687094
RTN_INT4_REFRESH,50,3.125,0.6892915499114991
RTN_INT4_REFRESH,100,6.25,0.6840712237930298
RTN_INT4_REFRESH,150,9.375,0.6787250511678059
SPATIAL_MIXED_FG_KIVI_INT4_BG_KIVI_INT2,50,3.125,0.5247819560050964
SPATIAL_MIXED_FG_KIVI_INT4_BG_KIVI_INT2,100,6.25,0.45817652065277104
SPATIAL_MIXED_FG_KIVI_INT4_BG_KIVI_INT2,150,9.375,0.45088609954833986
SPATIAL_MIXED_FG_QUAROT_KV_INT4_BG_RTN_INT2,50,3.125,0.4726388801574707
SPATIAL_MIXED_FG_QUAROT_KV_INT4_BG_RTN_INT2,100,6.25,0.4171041628837585
SPATIAL_MIXED_FG_QUAROT_KV_INT4_BG_RTN_INT2,150,9.375,0.39787959139506013
SPATIAL_MIXED_FG_RTN_INT4_BG_RTN_INT2,50,3.125,0.4712814822387695
SPATIAL_MIXED_FG_RTN_INT4_BG_RTN_INT2,100,6.25,0.4305416257667541
SPATIAL_MIXED_FG_RTN_INT4_BG_RTN_INT2,150,9.375,0.4194565905761719
SPATIAL_MIXED_FG_RTN_INT4_BG_RTN_INT4,50,3.125,0.6718804627227785
SPATIAL_MIXED_FG_RTN_INT4_BG_RTN_INT4,100,6.25,0.6305620553016663
SPATIAL_MIXED_FG_RTN_INT4_BG_RTN_INT4,150,9.375,0.606635558497111
TPTQ_INT2,50,3.125,0.6888366583251954
TPTQ_INT2,100,6.25,0.6772405556869507
TPTQ_INT2,150,9.375,0.6580397197850547
