method,status,source_run,videos,logged_prompts,psnr,ssim,lpips,background_consistency,imaging_quality,subject_consistency,aesthetic_quality,bf16_kv_bytes,compressed_kv_bytes,compression_ratio,total_runtime_s,avg_runtime_s_per_prompt,peak_vram_bytes,peak_vram_gb,quantize_time_s,dequantize_time_s,quantize_calls,dequantize_calls,drift_points,drift_last_imaging_quality,note
BF16,complete,results/runs/1773038789_newideas10s_10prompts,10,10,,,,0.9553621617759146,0.7390351243452593,0.9543555233354976,0.6649111092090607,12076646400.0,12076646400.0,1.0,585.7258332190104,58.572583321901035,20701900800.0,19.280147552490234,0.0,0.0,0.0,0.0,14,0.7394145274075595,BF16 source chosen from the new-method run because it includes drift metrics and full traces.
RTN_INT4,complete,results/runs/1772751420_baseline10s_10prompts_v3,10,10,21.32045230697806,0.6880432589672065,0.18028859936159503,0.9452598013528963,0.7352976711619984,0.940525766516604,0.6472699463367462,12076646400.0,3773952000.0,3.2,862.6356853013858,86.26356853013858,21456691200.0,19.98310089111328,5.455053005833179,1.6231011464260519,,,0,,
RTN_INT2,complete,results/runs/1772751420_baseline10s_10prompts_v3,10,10,15.044382172704601,0.45148609955356944,0.4749773300278255,0.860675644293064,0.5668396699847597,0.7884887743650413,0.5068008303642273,12076646400.0,2264371200.0,5.333333333333333,871.160779605154,87.1160779605154,21456691200.0,19.98310089111328,5.172945570666343,1.539141824003309,,,0,,
KIVI_INT4,complete,results/runs/1772751420_baseline10s_10prompts_v3,10,10,13.069844169550578,0.4047657250155353,0.5708676137807638,0.9146398032583841,0.6812060567913634,0.8712520774363017,0.6032911539077759,12076646400.0,3781814400.0,3.1933471933471935,926.8624277589843,92.68624277589842,21464555520.0,19.99042510986328,7.791066000703722,2.3289497434161603,,,0,,
KIVI_INT2,complete,results/runs/1772751420_baseline10s_10prompts_v3,10,10,11.423966466590008,0.24141361134470113,0.6714347249626493,0.8174360321789254,0.6211140776663115,0.6682321528586127,0.4612638741731644,12076646400.0,2272233600.0,5.314878892733564,954.7730955900624,95.47730955900624,21464555520.0,19.99042510986328,7.916352194733918,2.375239360611886,,,0,,
QUAROT_KV_INT4,complete,results/runs/1772751420_baseline10s_10prompts_v3,10,10,22.641991291793474,0.7239981460306353,0.14831222969057942,0.9507386742568598,0.7375720150340688,0.9489172592759132,0.6579194366931915,12076646400.0,3773952000.0,3.2,2366.027616643347,236.60276166433468,21456691200.0,19.98310089111328,22.446207986213267,17.987966725137085,,,0,,
QUAROT_KV_INT2,complete,results/runs/1772751420_baseline10s_10prompts_v3,10,10,14.730957849036548,0.4402812439293854,0.46704885759038123,0.874416816525343,0.6007509638006038,0.7955866665284081,0.5228879988193512,12076646400.0,2264371200.0,5.333333333333333,2420.180916351266,242.0180916351266,21456691200.0,19.98310089111328,23.702160724438727,19.18562090350315,,,0,,
RTN_INT4_REFRESH,complete,results/runs/1773038789_newideas10s_10prompts,10,10,21.449570992474165,0.6934404228337129,0.17771532983251032,0.9468218547541921,0.7360971578424628,0.9406627426060234,0.648764455318451,12076646400.0,3773952000.0,3.2,650.4662615554407,65.04662615554408,24305333760.0,22.63610601425171,7.940657895989716,1.5729529564268887,4200.0,19500.0,14,0.735219814300537,
KIVI_INT4_REFRESH,complete,results/runs/1773038789_newideas10s_10prompts,10,10,13.732882428595252,0.4203463247104639,0.5094846755246435,0.924493408203125,0.7137196755149147,0.886262257415347,0.6198575019836425,12076646400.0,3781814400.0,3.1933471933471935,680.5237082317472,68.05237082317471,24301124096.0,22.632185459136963,4.9181237276643515,2.355167135130614,4200.0,19500.0,14,0.7115877006761955,
QUAROT_KV_INT4_REFRESH,partial_failed,results/runs/1773037963_newideas10s_10prompts,2,2,,,,,,,,,,,,,,,,,,,0,,Failed after 2/10 prompts with CUDA OOM during refresh-only writeback.
RTN_K2_V4,partial_failed,results/runs/1773038789_newideas10s_10prompts,5,5,,,,,,,,,,,,,,,,,,,0,,Failed after 5/10 prompts with CUDA OOM.
KIVI_K2_V4,partial_failed,results/runs/1773038789_newideas10s_10prompts,3,3,,,,,,,,,,,,,,,,,,,0,,Failed after 3/10 prompts with CUDA OOM.
RTN_INT4_RECENT2,complete,results/runs/1773038789_newideas10s_10prompts,10,10,23.691832257108995,0.7319636202635206,0.14821119446337408,0.9489960461128049,0.7355547964153868,0.9444047310730306,0.6474178016185761,12076646400.0,4960051200.0,2.4347826086956523,688.6369885755703,68.86369885755703,22950228480.0,21.37406587600708,5.127848951146007,1.7522967620752752,18000.0,17700.0,14,0.7351347815773702,
QUAROT_KV_INT4_RECENT2,complete,results/runs/1773038789_newideas10s_10prompts,10,10,inf,0.7057822707828502,0.18341852279909676,0.9432861328125,0.7302481259201514,0.9309045010587064,0.6413368940353393,12076646400.0,4960051200.0,2.4347826086956523,1113.0477134510875,111.30477134510875,23284492800.0,21.685373783111572,19.1965112965554,15.730533472727984,18000.0,17700.0,14,0.7289857184901382,
