method,status,source_run,videos,logged_prompts,background_consistency,imaging_quality,subject_consistency,aesthetic_quality,avg_runtime_s_per_prompt,peak_vram_gb,drift_points,drift_last_imaging_quality,note
BF16,complete,results/benchmarks/storyeval/storyeval_BF16_10prompts_10s_1773038789,10,10,0.9322194169207317,0.693240403285171,0.9207182750923605,0.555934664607048,56.810733754979445,19.205723762512207,3,0.6951099534606934,BF16 source chosen from the new-method StoryEval run for consistency with drift traces.
RTN_INT4,complete,results/benchmarks/storyeval/storyeval_RTN_INT4_10prompts_10s_1772778648,10,10,0.9234528332221799,0.6738419809052438,0.9118162759102699,0.539268872141838,88.7892658839468,19.908677101135254,3,0.6752917618052164,
RTN_INT2,complete,results/benchmarks/storyeval/storyeval_RTN_INT2_10prompts_10s_1772778648,10,10,0.8591248302924924,0.4644300289732037,0.7528448978325397,0.45250983238220216,86.1275063067209,19.908677101135254,3,0.4709276891581217,
KIVI_INT4,complete,results/benchmarks/storyeval/storyeval_KIVI_INT4_10prompts_10s_1772778648,10,10,0.8912935582602897,0.6347968805024118,0.8354450915644809,0.5121451616287231,92.99852731423452,19.916001319885254,3,0.6351706233851114,
KIVI_INT2,complete,results/benchmarks/storyeval/storyeval_KIVI_INT2_10prompts_10s_1772778648,10,10,0.7984421892863948,0.5312050458850281,0.6048829710139416,0.37972521781921387,94.71125385430642,19.916001319885254,3,0.527073238182068,
QUAROT_KV_INT4,complete,results/benchmarks/storyeval/storyeval_QUAROT_KV_INT4_10prompts_10s_1772778648,10,10,0.9261751500571647,0.6870295847343677,0.9202980349885255,0.5451271712779999,239.5796709816903,19.908677101135254,3,0.6889133264668783,
QUAROT_KV_INT2,complete,results/benchmarks/storyeval/storyeval_QUAROT_KV_INT2_10prompts_10s_1772778648,10,10,0.8606751232612424,0.47747829743587616,0.7535407900560375,0.4585696578025818,239.04731090646237,19.908677101135254,3,0.48016080608367917,
RTN_INT4_REFRESH,complete,results/benchmarks/storyeval/storyeval_RTN_INT4_REFRESH_10prompts_10s_1773038789,10,10,0.9234733767625762,0.6779030483361446,0.9135942715878894,0.5407512336969376,64.60680545200594,22.56168222427368,3,0.6787250511678059,
KIVI_INT4_REFRESH,complete,results/benchmarks/storyeval/storyeval_KIVI_INT4_REFRESH_10prompts_10s_1773038789,10,10,0.8807786150676448,0.6447685503757363,0.8294758887575349,0.4995093882083893,66.73350720307789,22.557761669158936,3,0.6413729309336343,
QUAROT_KV_INT4_REFRESH,not_run,-,0,0,,,,,,,0,,MovieGen-only partial attempt; no StoryEval production run exists.
RTN_K2_V4,not_run,-,0,0,,,,,,,0,,MovieGen-only partial attempt; no StoryEval production run exists.
KIVI_K2_V4,not_run,-,0,0,,,,,,,0,,MovieGen-only partial attempt; no StoryEval production run exists.
RTN_INT4_RECENT2,complete,results/benchmarks/storyeval/storyeval_RTN_INT4_RECENT2_10prompts_10s_1773038789,10,10,0.9235187809641768,0.680258633076061,0.9142040183449663,0.5451614201068878,68.64204284488224,21.299642086029053,3,0.6836344689687094,
QUAROT_KV_INT4_RECENT2,complete,results/benchmarks/storyeval/storyeval_QUAROT_KV_INT4_RECENT2_10prompts_10s_1773038789,10,10,0.9188024009146342,0.6664768714904785,0.9048706008439383,0.5382754176855087,112.92554970490747,21.610949993133545,3,0.6698441107432046,
