run_name,run_root,method,method_family,primary_config_id,config_ids,sources,profile_flowcache,flowcache_profile_recent_ratio,flowcache_profile_min_scale,flowcache_profile_max_scale,dashboard_ready_runs,command
backfill_age_tier_int2_9bbee19b8cfd_10s,results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s,AGE_TIER_INT2,AGE_TIER,9bbee19b8cfd,9bbee19b8cfd,vaishak,False,,,,5,python3 scripts/23_run_moviegen_backfill.py --run-root results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s --run-name backfill_age_tier_int2_9bbee19b8cfd_10s --method AGE_TIER_INT2 --config-id 9bbee19b8cfd -- --device cuda:0 --use-ema --age-tier-recent-ratio 0.3 --age-tier-recent-bits 4 --age-tier-recent-method RTN --age-tier-old-method RTN
backfill_age_tier_int2_e8623fd4255c_10s,results/runs/backfill_age_tier_int2_e8623fd4255c_10s,AGE_TIER_INT2,AGE_TIER,e8623fd4255c,e8623fd4255c,vaishak,False,,,,4,python3 scripts/23_run_moviegen_backfill.py --run-root results/runs/backfill_age_tier_int2_e8623fd4255c_10s --run-name backfill_age_tier_int2_e8623fd4255c_10s --method AGE_TIER_INT2 --config-id e8623fd4255c -- --device cuda:0 --use-ema --age-tier-recent-ratio 0.25 --age-tier-recent-bits 4 --age-tier-recent-method RTN --age-tier-old-method RTN
backfill_age_tier_int4_74dcf380574b_10s,results/runs/backfill_age_tier_int4_74dcf380574b_10s,AGE_TIER_INT4,AGE_TIER,74dcf380574b,74dcf380574b,vaishak,False,,,,1,python3 scripts/23_run_moviegen_backfill.py --run-root results/runs/backfill_age_tier_int4_74dcf380574b_10s --run-name backfill_age_tier_int4_74dcf380574b_10s --method AGE_TIER_INT4 --config-id 74dcf380574b -- --device cuda:0 --use-ema --age-tier-recent-ratio 0.3 --age-tier-recent-bits 4 --age-tier-recent-method RTN --age-tier-old-method RTN
backfill_flowcache_adaptive_int2_1a41612d204d_10s,results/runs/backfill_flowcache_adaptive_int2_1a41612d204d_10s,FLOWCACHE_ADAPTIVE_INT2,FLOWCACHE_ADAPTIVE,1a41612d204d,1a41612d204d,vaishak,True,0.25,0.7,1.3,1,python3 scripts/23_run_moviegen_backfill.py --run-root results/runs/backfill_flowcache_adaptive_int2_1a41612d204d_10s --run-name backfill_flowcache_adaptive_int2_1a41612d204d_10s --method FLOWCACHE_ADAPTIVE_INT2 --config-id 1a41612d204d --profile-flowcache --flowcache-profile-recent-ratio 0.25 --flowcache-profile-min-scale 0.7 --flowcache-profile-max-scale 1.3 -- --device cuda:0 --use-ema --flowcache-recent-ratio 0.25 --flowcache-recent-bits 4 --flowcache-recent-method RTN --flowcache-old-method RTN --flowcache-min-layer-budget-scale 0.7 --flowcache-max-layer-budget-scale 1.3 --flowcache-important-old-ratio 0.2 --flowcache-importance-alpha 0.7 --flowcache-importance-beta 0.3
backfill_flowcache_adaptive_int2_a154b903b16c_10s,results/runs/backfill_flowcache_adaptive_int2_a154b903b16c_10s,FLOWCACHE_ADAPTIVE_INT2,FLOWCACHE_ADAPTIVE,a154b903b16c,a154b903b16c,vaishak,True,0.25,0.7,1.3,2,python3 scripts/23_run_moviegen_backfill.py --run-root results/runs/backfill_flowcache_adaptive_int2_a154b903b16c_10s --run-name backfill_flowcache_adaptive_int2_a154b903b16c_10s --method FLOWCACHE_ADAPTIVE_INT2 --config-id a154b903b16c --profile-flowcache --flowcache-profile-recent-ratio 0.25 --flowcache-profile-min-scale 0.7 --flowcache-profile-max-scale 1.3 -- --device cuda:0 --use-ema --flowcache-recent-ratio 0.25 --flowcache-recent-bits 4 --flowcache-recent-method RTN --flowcache-old-method RTN --flowcache-min-layer-budget-scale 0.7 --flowcache-max-layer-budget-scale 1.3 --flowcache-important-old-ratio 0.1 --flowcache-importance-alpha 0.7 --flowcache-importance-beta 0.3
backfill_flowcache_hybrid_int2_973ebc836fd7_10s,results/runs/backfill_flowcache_hybrid_int2_973ebc836fd7_10s,FLOWCACHE_HYBRID_INT2,FLOWCACHE_HYBRID,973ebc836fd7,"973ebc836fd7,9cf4621557e3",vaishak,True,0.25,0.7,1.3,1,python3 scripts/23_run_moviegen_backfill.py --run-root results/runs/backfill_flowcache_hybrid_int2_973ebc836fd7_10s --run-name backfill_flowcache_hybrid_int2_973ebc836fd7_10s --method FLOWCACHE_HYBRID_INT2 --config-id 973ebc836fd7 --profile-flowcache --flowcache-profile-recent-ratio 0.25 --flowcache-profile-min-scale 0.7 --flowcache-profile-max-scale 1.3 -- --device cuda:0 --use-ema --flowcache-recent-ratio 0.25 --flowcache-recent-bits 4 --flowcache-recent-method RTN --flowcache-old-method RTN --flowcache-min-layer-budget-scale 0.7 --flowcache-max-layer-budget-scale 1.3
backfill_flowcache_hybrid_int2_bfbf5df8b757_10s,results/runs/backfill_flowcache_hybrid_int2_bfbf5df8b757_10s,FLOWCACHE_HYBRID_INT2,FLOWCACHE_HYBRID,bfbf5df8b757,bfbf5df8b757,vaishak,False,,,,1,python3 scripts/23_run_moviegen_backfill.py --run-root results/runs/backfill_flowcache_hybrid_int2_bfbf5df8b757_10s --run-name backfill_flowcache_hybrid_int2_bfbf5df8b757_10s --method FLOWCACHE_HYBRID_INT2 --config-id bfbf5df8b757 -- --device cuda:0 --use-ema --flowcache-recent-ratio 0.25 --flowcache-recent-bits 4 --flowcache-recent-method RTN --flowcache-old-method RTN --flowcache-min-layer-budget-scale 0.75 --flowcache-max-layer-budget-scale 1.25
backfill_flowcache_native_7743d4e12ea8_10s,results/runs/backfill_flowcache_native_7743d4e12ea8_10s,FLOWCACHE_NATIVE,FLOWCACHE_NATIVE,7743d4e12ea8,7743d4e12ea8,vaishak,True,0.25,0.7,1.3,1,python3 scripts/23_run_moviegen_backfill.py --run-root results/runs/backfill_flowcache_native_7743d4e12ea8_10s --run-name backfill_flowcache_native_7743d4e12ea8_10s --method FLOWCACHE_NATIVE --config-id 7743d4e12ea8 --profile-flowcache --flowcache-profile-recent-ratio 0.25 --flowcache-profile-min-scale 0.7 --flowcache-profile-max-scale 1.3 -- --device cuda:0 --use-ema --flowcache-native-rel-l1-thresh 1.5 --flowcache-native-warmup-steps 0
backfill_flowcache_native_soft_prune_int4_56d7f051182b_10s,results/runs/backfill_flowcache_native_soft_prune_int4_56d7f051182b_10s,FLOWCACHE_NATIVE_SOFT_PRUNE_INT4,FLOWCACHE_NATIVE_SOFT_PRUNE,56d7f051182b,56d7f051182b,vaishak,True,0.25,0.7,1.3,1,python3 scripts/23_run_moviegen_backfill.py --run-root results/runs/backfill_flowcache_native_soft_prune_int4_56d7f051182b_10s --run-name backfill_flowcache_native_soft_prune_int4_56d7f051182b_10s --method FLOWCACHE_NATIVE_SOFT_PRUNE_INT4 --config-id 56d7f051182b --profile-flowcache --flowcache-profile-recent-ratio 0.25 --flowcache-profile-min-scale 0.7 --flowcache-profile-max-scale 1.3 -- --device cuda:0 --use-ema --flowcache-recent-ratio 0.25 --flowcache-recent-bits 4 --flowcache-recent-method RTN --flowcache-old-method RTN --flowcache-min-layer-budget-scale 0.7 --flowcache-max-layer-budget-scale 1.3 --flowcache-important-old-ratio 0.1 --flowcache-importance-alpha 0.7 --flowcache-importance-beta 0.3 --flowcache-prune-retained-old-ratio 0.45 --flowcache-prune-refresh-gap-chunks 1 --flowcache-native-rel-l1-thresh 1.5 --flowcache-native-warmup-steps 0
backfill_flowcache_prune_int2_990b60e0bbd4_10s,results/runs/backfill_flowcache_prune_int2_990b60e0bbd4_10s,FLOWCACHE_PRUNE_INT2,FLOWCACHE_PRUNE,990b60e0bbd4,990b60e0bbd4,vaishak,True,0.25,0.7,1.3,1,python3 scripts/23_run_moviegen_backfill.py --run-root results/runs/backfill_flowcache_prune_int2_990b60e0bbd4_10s --run-name backfill_flowcache_prune_int2_990b60e0bbd4_10s --method FLOWCACHE_PRUNE_INT2 --config-id 990b60e0bbd4 --profile-flowcache --flowcache-profile-recent-ratio 0.25 --flowcache-profile-min-scale 0.7 --flowcache-profile-max-scale 1.3 -- --device cuda:0 --use-ema --flowcache-recent-ratio 0.25 --flowcache-recent-bits 4 --flowcache-recent-method RTN --flowcache-old-method RTN --flowcache-min-layer-budget-scale 0.7 --flowcache-max-layer-budget-scale 1.3 --flowcache-important-old-ratio 0.1 --flowcache-importance-alpha 0.7 --flowcache-importance-beta 0.3 --flowcache-prune-retained-old-ratio 0.3 --flowcache-prune-refresh-gap-chunks 1
