source_repo,results_root,benchmark,run_label,run_root,run_name,method,method_family,bits,cadence,recent_blocks,config_id,config_payload,experiment_type,quant_meta,prompt_count,video_count,generation_records,has_vram_trace,has_efficiency,has_fidelity,has_vbench,has_drift,has_summary_csv,decoded_frames,approx_duration_sec,is_ten_second,dashboard_overview_ready,dashboard_video_ready,dashboard_prompt_ready,dashboard_ready,long10_dashboard_ready,missing_requirements,psnr,ssim,lpips,background_consistency,imaging_quality,subject_consistency,aesthetic_quality,compression_ratio,total_runtime_s,peak_vram_bytes
vaishak,/data/vaishak/kv-quant-longhorizon/results,moviegen,runs/tptq_ablation_smoke_1772779198,/data/vaishak/kv-quant-longhorizon/results/runs/tptq_ablation_smoke_1772779198,tptq_ablation_smoke,AGE_TIER_INT2,AGE_TIER,2,,,9bbee19b8cfd,"{""benchmark"":""moviegen"",""bits"":2,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""AGE_TIER_INT2"",""method_family"":""AGE_TIER"",""quant_meta"":{""age_tier_config_recent_ratio"":0.3,""age_tier_old_bits"":2.0,""age_tier_recent_bits"":4.0}}",tptq_ablation,"{""age_tier_config_recent_ratio"": 0.3, ""age_tier_old_bits"": 2.0, ""age_tier_recent_bits"": 4.0}",1,1,1,True,True,False,False,False,False,81,5.0625,False,False,True,True,False,False,fidelity;vbench,,,,,,,,4.412128175707348,34.61002886109054,14037365760
suraj,/data/suraj/kv-quant-longhorizon/results,moviegen,legacy_root,/data/suraj/kv-quant-longhorizon/results,results,BF16,BF16,,,,0db1312571c7,"{""benchmark"":""moviegen"",""bits"":null,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""BF16"",""method_family"":""BF16"",""quant_meta"":{}}",,{},10,10,10,False,True,False,True,False,True,81,5.0625,False,True,True,False,True,False,vram_trace,,,,0.9661050415039063,0.7314438996020658,0.9715937757119536,0.6529487371444702,1.0,279.7086550653912,14038778880
suraj,/data/suraj/kv-quant-longhorizon/results,moviegen,runs/1772742389_baseline10_memfix_clean,/data/suraj/kv-quant-longhorizon/results/runs/1772742389_baseline10_memfix_clean,baseline10_memfix_clean,BF16,BF16,,,,0db1312571c7,"{""benchmark"":""moviegen"",""bits"":null,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""BF16"",""method_family"":""BF16"",""quant_meta"":{}}",,{},10,10,10,False,True,False,True,False,True,81,5.0625,False,True,True,False,True,False,vram_trace,,,,0.9661050415039063,0.7314438996020658,0.9715937757119536,0.6529487371444702,1.0,274.17263127164915,14038778880
suraj,/data/suraj/kv-quant-longhorizon/results,moviegen,runs/1773037963_newideas10s_10prompts,/data/suraj/kv-quant-longhorizon/results/runs/1773037963_newideas10s_10prompts,1773037963_newideas10s_10prompts,BF16,BF16,,,,0db1312571c7,"{""benchmark"":""moviegen"",""bits"":null,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""BF16"",""method_family"":""BF16"",""quant_meta"":{}}",,{},1,1,1,True,False,False,False,False,False,165,10.3125,True,False,True,True,False,False,efficiency;vbench,,,,,,,,,,
vaishak,/data/vaishak/kv-quant-longhorizon/results,moviegen,legacy_root,/data/vaishak/kv-quant-longhorizon/results,results,BF16,BF16,,,,0db1312571c7,"{""benchmark"":""moviegen"",""bits"":null,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""BF16"",""method_family"":""BF16"",""quant_meta"":{}}",,{},10,10,10,False,True,False,True,False,True,81,5.0625,False,True,True,False,True,False,vram_trace,,,,0.9661050415039063,0.7314438996020658,0.9715937757119536,0.6529487371444702,1.0,279.7086550653912,14038778880
vaishak,/data/vaishak/kv-quant-longhorizon/results,moviegen,runs/1772742389_baseline10_memfix_clean,/data/vaishak/kv-quant-longhorizon/results/runs/1772742389_baseline10_memfix_clean,baseline10_memfix_clean,BF16,BF16,,,,0db1312571c7,"{""benchmark"":""moviegen"",""bits"":null,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""BF16"",""method_family"":""BF16"",""quant_meta"":{}}",,{},10,10,10,False,True,False,True,False,True,81,5.0625,False,True,True,False,True,False,vram_trace,,,,0.9661050415039063,0.7314438996020658,0.9715937757119536,0.6529487371444702,1.0,274.17263127164915,14038778880
vaishak,/data/vaishak/kv-quant-longhorizon/results,moviegen,runs/spatial_mixed_smoke_1772758158,/data/vaishak/kv-quant-longhorizon/results/runs/spatial_mixed_smoke_1772758158,spatial_mixed_smoke,BF16,BF16,,,,0db1312571c7,"{""benchmark"":""moviegen"",""bits"":null,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""BF16"",""method_family"":""BF16"",""quant_meta"":{}}",spatial_mixed_balanced,{},1,1,1,True,True,False,False,False,False,81,5.0625,False,False,True,True,False,False,vbench,,,,,,,,1.0,24.033702002838254,13673125888
vaishak,/data/vaishak/kv-quant-longhorizon/results,moviegen,runs/tptq_ablation_smoke_1772779198,/data/vaishak/kv-quant-longhorizon/results/runs/tptq_ablation_smoke_1772779198,tptq_ablation_smoke,BF16,BF16,,,,0db1312571c7,"{""benchmark"":""moviegen"",""bits"":null,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""BF16"",""method_family"":""BF16"",""quant_meta"":{}}",tptq_ablation,{},1,1,1,True,True,False,False,False,False,81,5.0625,False,False,True,True,False,False,vbench,,,,,,,,1.0,23.473893629852682,13646407680
suraj,/data/suraj/kv-quant-longhorizon/results,moviegen,runs/1773035807_newideas10s_10prompts,/data/suraj/kv-quant-longhorizon/results/runs/1773035807_newideas10s_10prompts,1773035807_newideas10s_10prompts,BF16,BF16,,per_step,0,91268059fdda,"{""benchmark"":""moviegen"",""bits"":null,""cache_policy"":{""cadence"":""per_step"",""recent_blocks"":0},""method"":""BF16"",""method_family"":""BF16"",""quant_meta"":{}}",,{},10,10,10,True,True,False,False,False,False,165,10.3125,True,False,True,True,False,False,vbench,,,,,,,,1.0,596.0240440233611,20701900800
vaishak,/data/vaishak/kv-quant-longhorizon/results,moviegen,runs/flowcache_native_calib_1772867470,/data/vaishak/kv-quant-longhorizon/results/runs/flowcache_native_calib_1772867470,flowcache_native_calib_1772867470,FLOWCACHE_NATIVE,FLOWCACHE_NATIVE,,,,ac822d436745,"{""benchmark"":""moviegen"",""bits"":null,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""FLOWCACHE_NATIVE"",""method_family"":""FLOWCACHE_NATIVE"",""quant_meta"":{""flowcache_native_rel_l1_thresh"":1.5}}",,"{""flowcache_native_rel_l1_thresh"": 1.5}",1,1,1,True,True,False,False,False,False,81,5.0625,False,False,True,True,False,False,fidelity;vbench,,,,,,,,1.0,20.64079451095313,13675760640
