run_name,run_root,method,method_family,primary_config_id,config_ids,source_moviegen_run_root,profile_flowcache,flowcache_profile_recent_ratio,flowcache_profile_min_scale,flowcache_profile_max_scale,dashboard_ready_runs,command
storyeval_age_tier_int2_9bbee19b8cfd_10prompts_10s,results/benchmarks/storyeval/storyeval_age_tier_int2_9bbee19b8cfd_10prompts_10s,AGE_TIER_INT2,AGE_TIER,9bbee19b8cfd,9bbee19b8cfd,results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s,False,,,,5,python3 scripts/27_run_storyeval_backfill.py --run-root results/benchmarks/storyeval/storyeval_age_tier_int2_9bbee19b8cfd_10prompts_10s --run-name storyeval_age_tier_int2_9bbee19b8cfd_10prompts_10s --method AGE_TIER_INT2 --config-id 9bbee19b8cfd --source-moviegen-run-root results/runs/backfill_age_tier_int2_9bbee19b8cfd_10s -- --device cuda:0 --use-ema --age-tier-recent-ratio 0.3 --age-tier-recent-bits 4 --age-tier-recent-method RTN --age-tier-old-method RTN
storyeval_age_tier_int2_e8623fd4255c_10prompts_10s,results/benchmarks/storyeval/storyeval_age_tier_int2_e8623fd4255c_10prompts_10s,AGE_TIER_INT2,AGE_TIER,e8623fd4255c,e8623fd4255c,results/runs/backfill_age_tier_int2_e8623fd4255c_10s,False,,,,4,python3 scripts/27_run_storyeval_backfill.py --run-root results/benchmarks/storyeval/storyeval_age_tier_int2_e8623fd4255c_10prompts_10s --run-name storyeval_age_tier_int2_e8623fd4255c_10prompts_10s --method AGE_TIER_INT2 --config-id e8623fd4255c --source-moviegen-run-root results/runs/backfill_age_tier_int2_e8623fd4255c_10s -- --device cuda:0 --use-ema --age-tier-recent-ratio 0.25 --age-tier-recent-bits 4 --age-tier-recent-method RTN --age-tier-old-method RTN
storyeval_age_tier_int4_74dcf380574b_10prompts_10s,results/benchmarks/storyeval/storyeval_age_tier_int4_74dcf380574b_10prompts_10s,AGE_TIER_INT4,AGE_TIER,74dcf380574b,74dcf380574b,results/runs/backfill_age_tier_int4_74dcf380574b_10s,False,,,,1,python3 scripts/27_run_storyeval_backfill.py --run-root results/benchmarks/storyeval/storyeval_age_tier_int4_74dcf380574b_10prompts_10s --run-name storyeval_age_tier_int4_74dcf380574b_10prompts_10s --method AGE_TIER_INT4 --config-id 74dcf380574b --source-moviegen-run-root results/runs/backfill_age_tier_int4_74dcf380574b_10s -- --device cuda:0 --use-ema --age-tier-recent-ratio 0.3 --age-tier-recent-bits 4 --age-tier-recent-method RTN --age-tier-old-method RTN
storyeval_bf16_10prompts_10s,results/benchmarks/storyeval/storyeval_bf16_10prompts_10s,BF16,BF16,,,,False,,,,1,python3 scripts/27_run_storyeval_backfill.py --run-root results/benchmarks/storyeval/storyeval_bf16_10prompts_10s --run-name storyeval_bf16_10prompts_10s --method BF16 -- --device cuda:0 --use-ema
storyeval_flowcache_adaptive_int2_1a41612d204d_10prompts_10s,results/benchmarks/storyeval/storyeval_flowcache_adaptive_int2_1a41612d204d_10prompts_10s,FLOWCACHE_ADAPTIVE_INT2,FLOWCACHE_ADAPTIVE,1a41612d204d,1a41612d204d,results/runs/backfill_flowcache_adaptive_int2_1a41612d204d_10s,True,0.25,0.7,1.3,1,python3 scripts/27_run_storyeval_backfill.py --run-root results/benchmarks/storyeval/storyeval_flowcache_adaptive_int2_1a41612d204d_10prompts_10s --run-name storyeval_flowcache_adaptive_int2_1a41612d204d_10prompts_10s --method FLOWCACHE_ADAPTIVE_INT2 --config-id 1a41612d204d --source-moviegen-run-root results/runs/backfill_flowcache_adaptive_int2_1a41612d204d_10s --profile-flowcache --flowcache-profile-recent-ratio 0.25 --flowcache-profile-min-scale 0.7 --flowcache-profile-max-scale 1.3 -- --device cuda:0 --use-ema --flowcache-recent-ratio 0.25 --flowcache-recent-bits 4 --flowcache-recent-method RTN --flowcache-old-method RTN --flowcache-min-layer-budget-scale 0.7 --flowcache-max-layer-budget-scale 1.3 --flowcache-important-old-ratio 0.2 --flowcache-importance-alpha 0.7 --flowcache-importance-beta 0.3
storyeval_flowcache_adaptive_int2_a154b903b16c_10prompts_10s,results/benchmarks/storyeval/storyeval_flowcache_adaptive_int2_a154b903b16c_10prompts_10s,FLOWCACHE_ADAPTIVE_INT2,FLOWCACHE_ADAPTIVE,a154b903b16c,a154b903b16c,results/runs/backfill_flowcache_adaptive_int2_a154b903b16c_10s,True,0.25,0.7,1.3,2,python3 scripts/27_run_storyeval_backfill.py --run-root results/benchmarks/storyeval/storyeval_flowcache_adaptive_int2_a154b903b16c_10prompts_10s --run-name storyeval_flowcache_adaptive_int2_a154b903b16c_10prompts_10s --method FLOWCACHE_ADAPTIVE_INT2 --config-id a154b903b16c --source-moviegen-run-root results/runs/backfill_flowcache_adaptive_int2_a154b903b16c_10s --profile-flowcache --flowcache-profile-recent-ratio 0.25 --flowcache-profile-min-scale 0.7 --flowcache-profile-max-scale 1.3 -- --device cuda:0 --use-ema --flowcache-recent-ratio 0.25 --flowcache-recent-bits 4 --flowcache-recent-method RTN --flowcache-old-method RTN --flowcache-min-layer-budget-scale 0.7 --flowcache-max-layer-budget-scale 1.3 --flowcache-important-old-ratio 0.1 --flowcache-importance-alpha 0.7 --flowcache-importance-beta 0.3
storyeval_flowcache_hybrid_int2_973ebc836fd7_10prompts_10s,results/benchmarks/storyeval/storyeval_flowcache_hybrid_int2_973ebc836fd7_10prompts_10s,FLOWCACHE_HYBRID_INT2,FLOWCACHE_HYBRID,973ebc836fd7,"973ebc836fd7,9cf4621557e3",results/runs/backfill_flowcache_hybrid_int2_973ebc836fd7_10s,True,0.25,0.7,1.3,1,python3 scripts/27_run_storyeval_backfill.py --run-root results/benchmarks/storyeval/storyeval_flowcache_hybrid_int2_973ebc836fd7_10prompts_10s --run-name storyeval_flowcache_hybrid_int2_973ebc836fd7_10prompts_10s --method FLOWCACHE_HYBRID_INT2 --config-id 973ebc836fd7 --source-moviegen-run-root results/runs/backfill_flowcache_hybrid_int2_973ebc836fd7_10s --profile-flowcache --flowcache-profile-recent-ratio 0.25 --flowcache-profile-min-scale 0.7 --flowcache-profile-max-scale 1.3 -- --device cuda:0 --use-ema --flowcache-recent-ratio 0.25 --flowcache-recent-bits 4 --flowcache-recent-method RTN --flowcache-old-method RTN --flowcache-min-layer-budget-scale 0.7 --flowcache-max-layer-budget-scale 1.3
storyeval_flowcache_hybrid_int2_bfbf5df8b757_10prompts_10s,results/benchmarks/storyeval/storyeval_flowcache_hybrid_int2_bfbf5df8b757_10prompts_10s,FLOWCACHE_HYBRID_INT2,FLOWCACHE_HYBRID,bfbf5df8b757,bfbf5df8b757,results/runs/backfill_flowcache_hybrid_int2_bfbf5df8b757_10s,False,,,,1,python3 scripts/27_run_storyeval_backfill.py --run-root results/benchmarks/storyeval/storyeval_flowcache_hybrid_int2_bfbf5df8b757_10prompts_10s --run-name storyeval_flowcache_hybrid_int2_bfbf5df8b757_10prompts_10s --method FLOWCACHE_HYBRID_INT2 --config-id bfbf5df8b757 --source-moviegen-run-root results/runs/backfill_flowcache_hybrid_int2_bfbf5df8b757_10s -- --device cuda:0 --use-ema --flowcache-recent-ratio 0.25 --flowcache-recent-bits 4 --flowcache-recent-method RTN --flowcache-old-method RTN --flowcache-min-layer-budget-scale 0.75 --flowcache-max-layer-budget-scale 1.25
storyeval_flowcache_native_7743d4e12ea8_10prompts_10s,results/benchmarks/storyeval/storyeval_flowcache_native_7743d4e12ea8_10prompts_10s,FLOWCACHE_NATIVE,FLOWCACHE_NATIVE,7743d4e12ea8,7743d4e12ea8,results/runs/backfill_flowcache_native_7743d4e12ea8_10s,True,0.25,0.7,1.3,1,python3 scripts/27_run_storyeval_backfill.py --run-root results/benchmarks/storyeval/storyeval_flowcache_native_7743d4e12ea8_10prompts_10s --run-name storyeval_flowcache_native_7743d4e12ea8_10prompts_10s --method FLOWCACHE_NATIVE --config-id 7743d4e12ea8 --source-moviegen-run-root results/runs/backfill_flowcache_native_7743d4e12ea8_10s --profile-flowcache --flowcache-profile-recent-ratio 0.25 --flowcache-profile-min-scale 0.7 --flowcache-profile-max-scale 1.3 -- --device cuda:0 --use-ema --flowcache-native-rel-l1-thresh 1.5 --flowcache-native-warmup-steps 0
storyeval_flowcache_native_soft_prune_int4_56d7f051182b_10prompts_10s,results/benchmarks/storyeval/storyeval_flowcache_native_soft_prune_int4_56d7f051182b_10prompts_10s,FLOWCACHE_NATIVE_SOFT_PRUNE_INT4,FLOWCACHE_NATIVE_SOFT_PRUNE,56d7f051182b,56d7f051182b,results/runs/backfill_flowcache_native_soft_prune_int4_56d7f051182b_10s,True,0.25,0.7,1.3,1,python3 scripts/27_run_storyeval_backfill.py --run-root results/benchmarks/storyeval/storyeval_flowcache_native_soft_prune_int4_56d7f051182b_10prompts_10s --run-name storyeval_flowcache_native_soft_prune_int4_56d7f051182b_10prompts_10s --method FLOWCACHE_NATIVE_SOFT_PRUNE_INT4 --config-id 56d7f051182b --source-moviegen-run-root results/runs/backfill_flowcache_native_soft_prune_int4_56d7f051182b_10s --profile-flowcache --flowcache-profile-recent-ratio 0.25 --flowcache-profile-min-scale 0.7 --flowcache-profile-max-scale 1.3 -- --device cuda:0 --use-ema --flowcache-recent-ratio 0.25 --flowcache-recent-bits 4 --flowcache-recent-method RTN --flowcache-old-method RTN --flowcache-min-layer-budget-scale 0.7 --flowcache-max-layer-budget-scale 1.3 --flowcache-important-old-ratio 0.1 --flowcache-importance-alpha 0.7 --flowcache-importance-beta 0.3 --flowcache-prune-retained-old-ratio 0.45 --flowcache-prune-refresh-gap-chunks 1 --flowcache-native-rel-l1-thresh 1.5 --flowcache-native-warmup-steps 0
