config_id,benchmark,method,method_family,bits,cadence,recent_blocks,config_payload,sources,run_labels,moviegen_short_runs,moviegen_ten_second_runs,storyeval_ten_second_runs,dashboard_ready_runs,long10_dashboard_ready_runs,representative_quant_meta,missing_reasons,needs_moviegen_10s_backfill
9bbee19b8cfd,moviegen,AGE_TIER_INT2,AGE_TIER,2,,,"{""benchmark"":""moviegen"",""bits"":2,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""AGE_TIER_INT2"",""method_family"":""AGE_TIER"",""quant_meta"":{""age_tier_config_recent_ratio"":0.3,""age_tier_old_bits"":2.0,""age_tier_recent_bits"":4.0}}","combined,vaishak","combined::runs/backfill_age_tier_int2_9bbee19b8cfd_10s,vaishak::runs/nonspatial_bundle_smoke_1772772966,vaishak::runs/tptq_ablation_smoke_1772779198,vaishak::runs/tptq_ablation_smoke_fix_1772779890,vaishak::runs/tptq_lite_ablation_r15_1772782617,vaishak::runs/tptq_lite_ablation_r20_1772781924,vaishak::runs/tptq_lite_ablation_r25_1772781228",6,3,0,8,3,"{""age_tier_config_recent_ratio"": 0.3, ""age_tier_old_bits"": 2.0, ""age_tier_recent_bits"": 4.0}",fidelity;vbench,False
e8623fd4255c,moviegen,AGE_TIER_INT2,AGE_TIER,2,,,"{""benchmark"":""moviegen"",""bits"":2,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""AGE_TIER_INT2"",""method_family"":""AGE_TIER"",""quant_meta"":{""age_tier_config_recent_ratio"":0.25,""age_tier_old_bits"":2.0,""age_tier_recent_bits"":4.0}}","combined,vaishak","combined::runs/backfill_age_tier_int2_e8623fd4255c_10s,vaishak::runs/flowcache_adaptive_smoke_1772841690,vaishak::runs/flowcache_hybrid_smoke_1772837498,vaishak::runs/flowcache_prune_smoke_1772843810,vaishak::runs/flowcache_soft_prune_smoke_1772845366",4,3,0,7,3,"{""age_tier_config_recent_ratio"": 0.25, ""age_tier_old_bits"": 2.0, ""age_tier_recent_bits"": 4.0}",,False
74dcf380574b,moviegen,AGE_TIER_INT4,AGE_TIER,4,,,"{""benchmark"":""moviegen"",""bits"":4,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""AGE_TIER_INT4"",""method_family"":""AGE_TIER"",""quant_meta"":{""age_tier_config_recent_ratio"":0.3,""age_tier_old_bits"":4.0,""age_tier_recent_bits"":4.0}}","combined,vaishak","combined::runs/backfill_age_tier_int4_74dcf380574b_10s,vaishak::runs/nonspatial_bundle_smoke_1772772966",1,3,0,4,3,"{""age_tier_config_recent_ratio"": 0.3, ""age_tier_old_bits"": 4.0, ""age_tier_recent_bits"": 4.0}",,False
04d60f52e048,moviegen,BF16,BF16,,,,"{""benchmark"":""moviegen"",""bits"":null,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""BF16"",""method_family"":""BF16"",""quant_meta"":{}}","combined,vaishak","combined::runs/backfill_spatial_mixed_fg_rtn_int4_bg_rtn_int4_04d60f52e048_10s,vaishak::runs/spatial_mixed_iter2_smoke_1772761400",1,3,0,4,3,{},,False
068de819e000,moviegen,BF16,BF16,,,,"{""benchmark"":""moviegen"",""bits"":null,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""BF16"",""method_family"":""BF16"",""quant_meta"":{}}","combined,vaishak","combined::runs/backfill_flowcache_native_soft_prune_int4_068de819e000_10s,vaishak::runs/flowcache_native_smoke_1772867470",1,3,0,3,3,{},fidelity,False
089f989f38f6,moviegen,BF16,BF16,,,,"{""benchmark"":""moviegen"",""bits"":null,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""BF16"",""method_family"":""BF16"",""quant_meta"":{}}","combined,vaishak","combined::runs/backfill_tptq_int2_089f989f38f6_10s,vaishak::runs/tptq_lite_ablation_r15_1772782617",1,3,0,4,3,{},,False
0db1312571c7,moviegen,BF16,BF16,,,,"{""benchmark"":""moviegen"",""bits"":null,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""BF16"",""method_family"":""BF16"",""quant_meta"":{}}","suraj,vaishak","suraj::legacy_root,suraj::runs/1772742389_baseline10_memfix_clean,suraj::runs/1772751420_baseline10s_10prompts_v3,suraj::runs/1773037963_newideas10s_10prompts,vaishak::legacy_root,vaishak::runs/1772742389_baseline10_memfix_clean,vaishak::runs/1772751420_baseline10s_10prompts_v3,vaishak::runs/flowcache_adaptive_smoke_1772841690,vaishak::runs/flowcache_hybrid_smoke_1772837498,vaishak::runs/flowcache_native_smoke_1772867470,vaishak::runs/flowcache_native_smoke_v2_1772868427,vaishak::runs/flowcache_prune_smoke_1772843810,vaishak::runs/flowcache_soft_prune_int4_multiprompt_1772851813,vaishak::runs/flowcache_soft_prune_smoke_1772845366,vaishak::runs/kivi_spatial_smoke_1772765534,vaishak::runs/nonspatial_bundle_smoke_1772772966,vaishak::runs/spatial_mixed_iter2_smoke_1772761400,vaishak::runs/spatial_mixed_iter3_decisive_1772762790,vaishak::runs/spatial_mixed_smoke_1772758158,vaishak::runs/spatial_mixed_smoke_1772758615,vaishak::runs/tptq_ablation_smoke_1772779198,vaishak::runs/tptq_ablation_smoke_fix_1772779890,vaishak::runs/tptq_lite_ablation_r15_1772782617,vaishak::runs/tptq_lite_ablation_r20_1772781924,vaishak::runs/tptq_lite_ablation_r25_1772781228",22,3,0,22,2,{},efficiency;vbench;vram_trace,False
1a41612d204d,moviegen,BF16,BF16,,,,"{""benchmark"":""moviegen"",""bits"":null,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""BF16"",""method_family"":""BF16"",""quant_meta"":{}}","combined,vaishak","combined::runs/backfill_flowcache_adaptive_int2_1a41612d204d_10s,vaishak::runs/flowcache_adaptive_smoke_1772841690",1,3,0,4,3,{},,False
1f080d8dcc0e,moviegen,BF16,BF16,,,,"{""benchmark"":""moviegen"",""bits"":null,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""BF16"",""method_family"":""BF16"",""quant_meta"":{}}","combined,vaishak","combined::runs/backfill_spatial_mixed_fg_rtn_int4_bg_rtn_int2_1f080d8dcc0e_10s,vaishak::runs/spatial_mixed_smoke_1772758158,vaishak::runs/spatial_mixed_smoke_1772758615",2,3,0,4,3,{},efficiency;fidelity;generation_log;vbench;videos,False
23a612bd2862,moviegen,BF16,BF16,,,,"{""benchmark"":""moviegen"",""bits"":null,""cache_policy"":{""cadence"":null,""recent_blocks"":null},""method"":""BF16"",""method_family"":""BF16"",""quant_meta"":{}}","combined,vaishak","combined::runs/backfill_prq_int4_23a612bd2862_10s,vaishak::runs/nonspatial_bundle_smoke_1772772966",1,3,0,4,3,{},,False
